audio_file_stem,lyric_file_stem,quadrant,genres,popular_genre,label
MT0000008995,MT0000008995,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000011357,MT0000011357,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000026571,MT0000026571,Q4,Vocal,Vocal,6
MT0000027422,MT0000027422,Q3,Pop/Rock,Pop/Rock,0
MT0000031210,MT0000031210,Q3,"Blues,Jazz,Vocal",Jazz,2
MT0000038502,MT0000038502,Q2,Pop/Rock,Pop/Rock,0
MT0000040773,MT0000040773,Q1,"Easy Listening,Vocal",Vocal,6
MT0000045345,MT0000045345,Q1,R&B,R&B,3
MT0000066421,MT0000066421,Q4,"Country,Latin,Pop/Rock",Pop/Rock,0
MT0000080053,MT0000080053,Q1,Country,Country,1
MT0000082188,MT0000082188,Q3,Pop/Rock,Pop/Rock,0
MT0000089238,MT0000089238,Q2,Rap,Rap,4
MT0000089410,MT0000089410,Q4,"Easy Listening,Jazz,Pop/Rock",Pop/Rock,0
MT0000091401,MT0000091401,Q1,"Pop/Rock,Rock & Roll,Instrumental Rock",Pop/Rock,0
MT0000091781,MT0000091781,Q3,"Classical,Pop/Rock",Pop/Rock,0
MT0000093583,MT0000093583,Q1,"Electronic,R&B",Electronic,5
MT0000095414,MT0000095414,Q3,Pop/Rock,Pop/Rock,0
MT0000097948,MT0000097948,Q4,"Jazz,Vocal",Jazz,2
MT0000103049,MT0000103049,Q4,"Country,Religious",Country,1
MT0000103874,MT0000103874,Q1,"Country-Pop,Country",Country,1
MT0000105492,MT0000105492,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0000117176,MT0000117176,Q4,"Jazz,Vocal",Jazz,2
MT0000119701,MT0000119701,Q4,"Jazz,Vocal",Jazz,2
MT0000124779,MT0000124779,Q3,Pop/Rock,Pop/Rock,0
MT0000128573,MT0000128573,Q1,"Holiday,Stage & Screen",Holiday,11
MT0000135916,MT0000135916,Q4,"Holiday,Vocal",Vocal,6
MT0000144160,MT0000144160,Q4,"Country,Holiday,Pop/Rock",Pop/Rock,0
MT0000145509,MT0000145509,Q2,Pop/Rock,Pop/Rock,0
MT0000147182,MT0000147182,Q4,Pop/Rock,Pop/Rock,0
MT0000151451,MT0000151451,Q4,"International,Pop/Rock",Pop/Rock,0
MT0000151529,MT0000151529,Q3,Country,Country,1
MT0000162219,MT0000162219,Q3,Country,Country,1
MT0000171852,MT0000171852,Q3,"Jazz,Vocal",Jazz,2
MT0000174580,MT0000174580,Q1,"Electronic,Pop/Rock,R&B",Pop/Rock,0
MT0000175597,MT0000175597,Q3,"Folk,Pop/Rock,Singer/Songwriter",Pop/Rock,0
MT0000177878,MT0000177878,Q4,"Jazz,Vocal",Jazz,2
MT0000185453,MT0000185453,Q3,Jazz,Jazz,2
MT0000186467,MT0000186467,Q2,"Electronic,Pop/Rock",Pop/Rock,0
MT0000192982,MT0000192982,Q3,"Rock & Roll,Rockabilly,Pop/Rock",Pop/Rock,0
MT0000197431,MT0000197431,Q1,Pop/Rock,Pop/Rock,0
MT0000202045,MT0000202045,Q4,Reggae,Reggae,8
MT0000214287,MT0000214287,Q3,Country,Country,1
MT0000218346,MT0000218346,Q4,"New Age,Pop/Rock,Religious",Pop/Rock,0
MT0000231442,MT0000231442,Q2,"Electronic,International,Pop/Rock",Pop/Rock,0
MT0000231784,MT0000231784,Q2,Rap,Rap,4
MT0000245808,MT0000245808,Q1,"Blues,Jazz,R&B",R&B,3
MT0000252574,MT0000252574,Q1,Pop/Rock,Pop/Rock,0
